category,dish_name,serving_size,preparation_time,ingredients,steps
salad,سلاطة مشوية,4,ساعة,"1/2 رطل فلفل أخضر,3 عدد طماطم,1 عدد بصل,1 عدد ثوم,1 ملعقة صغيرة كروية,1 ملعقة صغيرة  تابل,1/2 ملعقة صغيرة ملح,3 ملعقة كبيرة زيت زيتون","نمسح الفلفل بمنديل ونشويه على النار مع التقليب من جميع الجهات ونضعه في كيس حتى يسهل تقشيره فيما بعد,نمسح الطماطم ونشويها,نشوي الثوم,نقشر الفلفل وننظفه جيدا من البذور ثم نقشر الطماطم والثوم,أما البصل نقشره مسبقا ونغسله ونفوره في كسكاس فوق مقفول ماء,نترك جميع المكونات تبرد ثم نرحيها ونضع الملح والتابل والزيت و يمكن تزيينها بالتن والبيض والزيتون"
dessert,يويو ,,ساعة أو أقل,"1 علبة ياغورت,1 كوب سكر,2 عدد بيض,0,5 كوب زيت,1 ملعقة كبيرة خميرة مرطبات,6-7 كوب فارينه,2.5 كوب سكر,1.5 كوب ماء,1 عدد ليمون","نخلط الياغورت و السكر والبيض والزيت حتى يذوب السكر,ثم نضيف خميرة المرطبات,ونضيف الفارينه تدريجيا حتى نحصل على عجينه طرية,ندهن أيدينا بالزيت ونبدأ بتشكيل الدوائر أو نبسطها ونستعمل الأشكال المخصصة لذلك,توضع في زيت يغلي وعند التحصل على لونها الذهبي توضع مباشرة في الشحور المحضر مسبقاً. تترك قليلاً إذا أردت أن تكون طرية ومعسلة أو تخرج بسرعة إذا أحببت أن تبقى متماسكة. صحة و بالشفاء"
side dish,ملاوي,,,"500 غ سميد,رشة  ملح,50 غ زبدة,حسب الحاجة  ماء دافئ","نأخذ وعاء نخلط فيه الفارينة والسميد والملح ونضيف تدريجياً الماء ثم نعجن جيداً حتى نتحصل على عجينة متماسكة وطرية,ندهن كل الكورات بقليل من خليط الزيت ثم نبدأ بالكرة الأولى ونبسطها على الطاولة مع دهنها في كل مرة,نسخن المقلاة وننتظر العجين حتى تنضج"
dessert,عصيدة بفارينة القمح,,,"500 غ فرينة قمح,500 مل ماء,رشة  ملح,4 ملعقة زيت زيتون,حسب الرغبة  عسل,حسب الرغبة  تمر","ضعي 500غ من الفارينة مع 4 ملاعق زيت زيتون مع نصف ملعقة صغيرة ملح، اخلطي جيداً ثم أضيفي 500مل من الماء. حركي جيداً وضعي على النار مع التحريك المتواصل. عندما تنشف، أضيفي الماء كل مرة مع التحريك.,عندما تنضج، نفرغها في إيناء التقديم ونزينها من فوق بالعسل وزيت الزيتون والتمر."
main courses,عجة تونسية,,,"4 عدد بيض,  فلفل أحمر مرحي,  ملح,  كروية,3 عدد ثوم,0.5 عدد بصل,حسب الحاجة  زيت,1 ملعقة طماطم معجونة,1 ملعقة هريسة,1-2 عدد فلفل,1 كوب ماء","وضع الزيت على الغاز ليسخن.,إضافة الثوم (مطحون) والبصل والفلفل (مقطع إلى شرائح).,بعد قلي الثوم والبصل والفلفل، نضيف ملعقة من الطماطم المرحية (طماطم حكك).,بعد قليهم جيداً، نضيف كوب ماء وشوية كروية وتابل (الفاح) والفلفل الأحمر المرحي والملح، ونحركهم قليلاً على النار.,إضافة البيض حسب الطلب ثم إضافة الهريسة.,تحريكهم قليلاً فوق الغاز ثم تقديمها في صحن."
appetizer,طاجين سبانخ,,,"0.5  سبانخ,1 عدد بصل,500 غ دجاج,1 ملعقة صغيرة ملح,1 ملعقة صغيرة كركم,قليل  فلفل أسود,حسب الحاجة  زيت,حسب الحاجة  ماء,200 غ جبن متزاريلا,200 غ قوتة,4 طوابع جبن,40 غ جبن شيدار,12 عدد بيض,0.5 كيس خميرة مرطبات","نفوح الدجاج بالملح والكركم والفلفل الأسود والزيت، ثم نضيف البصل ونضع القليل من الماء، ونضعه على النار. بعد أن يستوي الدجاج، نخرجه من القدر ونفتته.,نضع السبانخ في القدر ونقليه.,نضع الجبن والقوتة والخميرة مع الدجاج ثم السبانخ. نفقص البيض ونخلط جيداً ثم نضعه في طبق وندخله الفرن."
main course,مرمز برأس الخروف,,,"0.5   رأس خروف,0.5 لتر طماطم معصورة,1 ملعقة كبيرة طماطم معجونة,1 ملعقة صغيرة ملح,2 ملعقتين صغيرتين فلفل زينة,قليل  فلفل أسود,حسب الحاجة  زيت,حسب الحاجة  ماء ساخن,2 عدد بصل,100 غ حمص منفخ,2 عدد فلفل أخضر","نقلي الطماطم والبصل والحمص والبهارات في الزيت والماء.,نمرق بالماء الساخن وفي الأخير نضع الفلفل ولحم الرأس."
main course,كسكسي بالقديد,,,"1 كغ كسكسي,1 كغ قديد,250 غ فول,250 غ حمص,0.5 رطل قرع أحمر,1 عدد قرع أخضر,2 عدد بصل,0.5 رطل فلفل أخضر,3 ملعقة طماطم معجونة,3 ملعقة صغيرة فلفل زينة,1 ملعقة صغيرة ملح,قليل  فلفل أسود,1 ملعقة صغيرة كركم,حسب الحاجة  زيت,حسب الحاجة  ماء ساخن","نسلق الفول في الماء.,نقلي الطماطم مع القديد والحمص والبصل والزيت والقليل من الماء والبهارات ثم نمرق بالماء الساخن.,نسقي الكسكسي بالماء ونضعه في الكسكاس فوق المقفول.,بعد أن يفور الكسكسي نفرغه في وعاء ونضع القرع والفول في المرقة ونسقي الكسكسي بالماء ونرجعه يفور مرة أخرى.,نفوح الفلفل بالقليل من الملح ونقليه في الزيت. عندما يفور الكسكسي نسقيه بالمرقة ونضع القديد والخضر والحمص والفول."
appetizer,طاجين,,,"صدر  دجاج,1 رطل بطاطا,1 عدد بصل,8 طوابع جبن,200 غ جبن غرويار,12 عدد بيض,1/2 كيس خميرة مرطبات,2 ملعقة صغيرة كركم,1.5 ملعقة صغيرة ملح,قليل  فلفل أسود,حسب الحاجة  زيت,حسب الحاجة  ماء","نفوح الدجاج بالكركم والفلفل الأسود وملعقة صغيرة ملح ونقليه مع البصل في القليل من الماء والزيت. وبعد أن يستوي الدجاج وينشف من الماء نفتته في إناء ونضيف البصل.,نقص البطاطا مكعبات صغيرة ونضع نصف ملعقة صغيرة ملح ونقليها في الزيت ونضيفها للدجاج. نضع الجبن والخميرة ونفقص البيض ونخلط جيداً.,نضع الخليط في طبق وندخله الفرن على 150 درجة."
main course,نواصر بالعصبان,9,,"2 كغ نواصر,9 عدد عصبان,حسب الحاجة  بصل,100 غ حمص,حسب الحاجة  قرع أخضر,حسب الحاجة  قرع أحمر,حسب الحاجة  بطاطا,حسب الحاجة  جزر,حسب الحاجة  فلفل أخضر,5 ملعقة كبيرة طماطم معجونة,2 ملعقة صغيرة ملح,4 ملعقة صغيرة فلفل زينة,قليل  فلفل أسود,حسب الحاجة  زيت,حسب الحاجة  ماء","ننظف الخضر ونفوح الفلفل بالقليل من الملح والتابل وكروية ونقليه في الزيت.,نضع الطماطم والبصل والحمص وجميع البهارات والزيت والقليل من الماء في المقفول ونتركها تتقلى.,ندهن النواصر بالزيت ونضعها في كسكاس. نمرق بالماء الساخن ونضع العصبان والجزر وعندما تغلي المرقة نضع الكسكاس فوق المقفول. بعد ما تفور النواصر نفرغها في وعاء ونرشها بالماء. نضع القرع والبطاطس في المقفول ونرجع النواصر لتفور للمرة الثانية.,نفرغها في وعاء ونسقيها بالمرقة و كل صحن نضع فوق النواصر العصبان والخضر."
